No_Rooms,Bathroom,Locality,Region,Longitude,Latitude,Furnished,Area,AC,Water_Heater,Dining_Set,Electricity,Bed,Access_Card,Kitchen,Fridge,Washing_Machine,TV,ATM,TV_Cable,Grocery,Internet,Swim_Pool,Laundry,Security,Basketball,Multipurpose_Room,Gym,Jogging,Tennis,Restaurant,Playground,Total_Facilities,AnnualPrice,FurnishedNew
1,1,Cakung,Jakarta Timur,106.948933,-6.203631,1,30.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,21,36000000,Full
2,1,Cengkareng,Jakarta Barat,106.731913,-6.13626,1,42.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,22,33000000,Full
2,2,Kuningan,Jakarta Selatan,106.829196,-6.224797,1,90.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,204000000,Full
2,1,Puri Indah,Jakarta Barat,106.728591,-6.182729,0,49.0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,10,70000000,Non
2,1,Tanjung Duren,Jakarta Barat,106.7917,-6.1792,0,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,7,60000000,Semi
3,2,Tanjung Duren,Jakarta Barat,106.793302,-6.177578,0,146.0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,180000000,Semi
2,2,Tanjung Duren,Jakarta Barat,106.7917,-6.1792,1,99.0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,15,240000000,Full
3,2,Pancoran,Jakarta Selatan,106.845254,-6.242801,1,132.0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,20,210000000,Full
2,1,Tanjung Duren,Jakarta Barat,106.788166,-6.175894,1,42.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,55000000,Full
2,2,Pancoran,Jakarta Selatan,106.845254,-6.242801,0,97.0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,14,336000000,Non
2,1,Kebon Jeruk,Jakarta Barat,106.756061,-6.192081,1,35.0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,20,39000000,Full
2,1,Menteng,Jakarta Pusat,106.851858,-6.200232,1,30.0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,20,44000000,Full
2,1,Cikokol,Tangerang,106.629106,-6.199893,1,41.0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,21,35000000,Full
0,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,0,26.0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,20,41000000,Non
0,1,Kebagusan,Jakarta Selatan,106.835418,-6.307531,0,27.0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,36000000,Non
2,1,Gunung Sahari,Jakarta Pusat,106.836638,-6.148474,0,42.0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,16,40000000,Non
2,2,Kuningan,Jakarta Selatan,106.820139,-6.221259,1,104.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,22,204000000,Full
2,2,Puri Indah,Jakarta Barat,106.750974,-6.1887,1,88.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,22,150000000,Full
2,2,Tanjung Duren,Jakarta Barat,106.793302,-6.177578,1,99.0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,140000000,Full
3,3,Dharmawangsa,Jakarta Selatan,106.804426,-6.258746,1,166.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,22,336000000,Full
2,1,Kelapa Gading,Jakarta Utara,106.890391,-6.149836,1,42.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,65000000,Full
3,2,Sudirman,Jakarta Selatan,106.805571,-6.226071,1,175.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,21,405000000,Full
2,2,Cilandak,Jakarta Selatan,106.786534,-6.291102,1,85.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,22,187150000,Full
2,1,Karang Tengah,Tangerang,106.723973,-6.195343,0,44.0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,18,45000000,Semi
2,2,Puri Indah,Jakarta Barat,106.73873,-6.190723,1,88.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,155000000,Full
3,2,Kemayoran,Jakarta Pusat,106.85069,-6.146146,1,196.0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,330050000,Full
2,1,Kelapa Gading,Jakarta Utara,106.89144,-6.149391,1,83.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,21,100000000,Full
2,1,Pancoran,Jakarta Selatan,106.851836,-6.257163,0,33.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,21,40000000,Non
0,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,1,26.0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,19,37000000,Full
2,2,Pondok Indah,Jakarta Selatan,106.791409,-6.282965,1,82.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,216000000,Full
2,1,Kedoya,Jakarta Barat,106.757651,-6.186415,0,53.0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,16,42000000,Non
2,1,Gunung Sahari,Jakarta Pusat,106.836638,-6.148474,1,41.0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,21,65000000,Full
0,1,Tanjung Duren,Jakarta Barat,106.7917,-6.1792,1,26.0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,13,49000000,Full
1,1,Gatot Subroto,Jakarta Pusat,106.80924,-6.213072,1,63.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,22,150000000,Full
1,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,0,35.0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,18,33000000,Non
1,1,Gajah Mada,Jakarta Barat,106.815297,-6.149237,0,33.0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,12,35000000,Non
2,1,Ciputat,Tangerang,106.752698,-6.311949,1,35.0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,20,37500000,Full
1,1,Kelapa Gading,Jakarta Timur,106.904441,-6.181255,1,36.0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,20,25000000,Full
3,2,Tanjung Duren,Jakarta Barat,106.7917,-6.1792,0,65.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,7,75000000,Non
2,1,Pondok Bambu,Jakarta Timur,106.89933,-6.224079,1,43.0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,20,51000000,Full
0,1,Kebayoran Lama,Jakarta Selatan,106.769194,-6.237472,1,23.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,20,45000000,Full
2,2,Casablanca,Jakarta Selatan,106.846292,-6.222918,1,50.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,132000000,Full
2,2,Gandaria,Jakarta Selatan,106.788904,-6.24568,1,91.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,291060000,Full
2,1,Kelapa Gading,Jakarta Utara,106.890391,-6.149836,1,45.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,65000000,Full
3,2,Dharmawangsa,Jakarta Selatan,106.804426,-6.258746,1,131.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,22,220800000,Full
1,1,Kemayoran,Jakarta Pusat,106.85716,-6.14607,1,30.0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,20,60000000,Full
2,1,Cipinang,Jakarta Timur,106.879075,-6.225031,1,35.0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,19,60000000,Full
2,1,Cempaka Putih,Jakarta Pusat,106.873191,-6.187929,1,33.0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,21,67150000,Full
1,1,MT Haryono,Jakarta Timur,106.866201,-6.245201,1,37.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,21,64800000,Full
2,1,Pluit,Jakarta Utara,106.807122,-6.121077,0,35.0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,21,28000000,Semi
2,1,Ancol,Jakarta Utara,106.839363,-6.129877,0,42.0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,15,26100000,Non
